"Period","Demand","Naïve","Absolute error","In sample MAE","Error","Scaled Error","Absolute","MASE","Total Average","Error","Scaled Error","Absolute","MASE",0.05,"SES","Error","Scaled Error","Absolute","MASE",0.1,"SES","Error","Scaled Error","Absolute","MASE",0.05,0.05,"Holt","Error","Scaled Error","Absolute","MASE",0.1,"Croston","Actual","Forecast","Actual","Forecast",,"Error","Scaled Error","Absolute","MASE"
,,,,2.52173913043478,,,"Scaled Error",,,,2.15997193826902,"Scaled Error",,,"(IJF article)",,,"Scaled Error",,,"(Foresight article)",,,"Scaled Error",,,,,,,"Scaled Error",,,,"Sizes","sizes","intervals","intervals","forecasts",,,"Scaled Error",
1,0,,,,,,,,,,,,,,1.4482,,,,,,0,,,,,2.0860,-0.0466,,,,,,,,,,,,," ",,,
2,2,0,2,,2,0.7931,0.7931,,0.0000,2.0000,0.7931,0.7931,,,1.3758,0.6242,0.2475,0.2475,,,0.0000,2.0000,0.7931,0.7931,,1.9374,-0.0517,2.0394,-0.0394,-0.0156,0.0156,,,,,,,,,,,,
3,0,2,2,,-2,-0.7931,0.7931,,1.0000,1.0000,0.3966,0.3966,,,1.4070,-1.4070,-0.5579,0.5579,,,0.2000,-0.2000,-0.0793,0.0793,,1.8914,-0.0514,1.8857,-1.8857,-0.7478,0.7478,,,,0,2.0000,0.0000,2.0000,1.0000,-1.0000,-0.3966,0.3966,
4,1,0,1,,1,0.3966,0.3966,,0.6667,0.3333,0.1322,0.1322,,,1.3367,-0.3367,-0.1335,0.1335,,,0.1800,0.8200,0.3252,0.3252,,1.7480,-0.0560,1.8400,-0.8400,-0.3331,0.3331,,,,1,2.0000,2.0000,2.0000,1.0000,0.0000,0.0000,0.0000,
5,0,1,1,,-1,-0.3966,0.3966,,0.7500,0.7500,0.2974,0.2974,,,1.3198,-1.3198,-0.5234,0.5234,,,0.2620,-0.2620,-0.1039,0.1039,,1.6574,-0.0577,1.6920,-1.6920,-0.6710,0.6710,,,,0,1.9000,0.0000,2.0000,0.9500,-0.9500,-0.3767,0.3767,
6,11,0,11,,11,4.3621,4.3621,,0.6000,10.4000,4.1241,4.1241,,,1.2538,9.7462,3.8649,3.8649,,,0.2358,10.7642,4.2686,4.2686,,1.5197,-0.0617,1.5996,9.4004,3.7277,3.7277,,,,11,1.9000,2.0000,2.0000,0.9500,10.0500,3.9853,3.9853,
7,0,11,11,,-11,-4.3621,4.3621,,2.3333,2.3333,0.9253,0.9253,,,1.7411,-1.7411,-0.6905,0.6905,,,1.3122,-1.3122,-0.5204,0.5204,,1.9350,-0.0379,1.4579,-1.4579,-0.5781,0.5781,,,,0,2.8100,0.0000,2.0000,1.4050,-1.4050,-0.5572,0.5572,
8,0,0,0,,0,0.0000,0.0000,,2.0000,2.0000,0.7931,0.7931,,,1.6541,-1.6541,-0.6559,0.6559,,,1.1810,-1.1810,-0.4683,0.4683,,1.8023,-0.0426,1.8971,-1.8971,-0.7523,0.7523,,,,0,2.8100,0.0000,2.0000,1.4050,-1.4050,-0.5572,0.5572,
9,0,0,0,,0,0.0000,0.0000,,1.7500,1.7500,0.6940,0.6940,,,1.5714,-1.5714,-0.6231,0.6231,,,1.0629,-1.0629,-0.4215,0.4215,,1.6717,-0.0470,1.7596,-1.7596,-0.6978,0.6978,,,,0,2.8100,0.0000,2.0000,1.4050,-1.4050,-0.5572,0.5572,
10,0,0,0,,0,0.0000,0.0000,,1.5556,1.5556,0.6169,0.6169,,,1.4928,-1.4928,-0.5920,0.5920,,,0.9566,-0.9566,-0.3793,0.3793,,1.5434,-0.0511,1.6246,-1.6246,-0.6442,0.6442,,,,0,2.8100,0.0000,2.0000,1.4050,-1.4050,-0.5572,0.5572,
11,2,0,2,,2,0.7931,0.7931,,1.4000,0.6000,0.2379,0.2379,,,1.4182,0.5818,0.2307,0.2307,,,0.8609,1.1391,0.4517,0.4517,,1.4177,-0.0548,1.4923,0.5077,0.2013,0.2013,,,,2,2.8100,5.0000,2.0000,1.4050,0.5950,0.2359,0.2359,
12,0,2,2,,-2,-0.7931,0.7931,,1.4545,1.4545,0.5768,0.5768,,,1.4473,-1.4473,-0.5739,0.5739,,,0.9749,-0.9749,-0.3866,0.3866,,1.3947,-0.0532,1.3629,-1.3629,-0.5404,0.5404,,,,0,2.7290,0.0000,2.3000,1.1865,-1.1865,-0.4705,0.4705,
13,6,0,6,,6,2.3793,2.3793,,1.3333,4.6667,1.8506,1.8506,,,1.3749,4.6251,1.8341,1.8341,,,0.8774,5.1226,2.0314,2.0314,,1.2744,-0.0566,1.3415,4.6585,1.8473,1.8473,,,,6,2.7290,2.0000,2.3000,1.1865,4.8135,1.9088,1.9088,
